eid,input_text,pred
RFAYikpCmSmLScCvMQmpsy,excellent food [SEP] fresh food [SEP] great Chinese food [SEP] decent prices [SEP] recommend orange chicken [SEP] really good though flavor [SEP] good portions [SEP] reasonable price [SEP] friendly owner [SEP] fast and friendly Service [SEP] awesome service [SEP] very friendly lady [SEP] were really shrimp vegetable [SEP] best orange beef [SEP] Great Chinese,great food at a reasonable price. the service is fast and friendly. the owner is really friendly and the food is great. the orange chicken is the best i've had in a long time. the beef is really good and the rice is fresh. the prices are very reasonable and the portions are decent. i would recommend the orange
06Vts51gZrtBnFMs6sBPbA,Fast and easy process [SEP] Excellent doctor [SEP] excellent team members [SEP] recommend clinic [SEP] great service [SEP] questionable billing practices [SEP] plenty reviews [SEP] Clean office [SEP] inviting environment [SEP] very sweet and organized staff [SEP] Very friendly and informative team [SEP] very handy prescription,i have been going to this location for over a year now and i have always had excellent experiences. the staff is very friendly and efficient. the office is very clean and comfortable. the team is very helpful and friendly. i highly recommend this office to anyone who is looking for an excellent dental care. the office has a
8DPZWbP6gKaBsGoAFQkSaA,very good burgers [SEP] friendly and good Service [SEP] small bites [SEP] always packed [SEP] great energy [SEP] fancy bar [SEP] not bad food [SEP] noisy place [SEP] unfriendly drink refills [SEP] Awesome place [SEP] love hot wings [SEP] Lively crowd [SEP] very FUN and ENERGETIC environment [SEP] Great patio [SEP] great menu,i love this place! the food is great and the drinks are very good. the burgers are awesome and the service is always great. the place is very crowded and the crowd is fun and fun. the crowd of the bar is fun but the crowd can get a little loud at times. the bar tenders are very loud
5AzGqv0jjRMXrcRIE1zCvg,Cheap drinks [SEP]  Greatest dive [SEP] great spot [SEP] Local dive bar experience [SEP] Authentic Phoenix experience [SEP] Decent prices [SEP] Clean bathroom [SEP] variety of seating options [SEP] local bar [SEP] friendly people [SEP] no frills except pool table [SEP] AWESOME sliding [SEP] Great hire [SEP] awesome bar staff [SEP] stiff pours,this is one of my favorite dive bars in the area. the bar is clean and the music is awesome. the staff is great and the drinks are cheap. the bar area is clean with a decent variety of games to choose from. the only thing i would change is that it can be a little pricey for the
4kDLEb1OgE7IrO54lCkn3A,Good Mexican [SEP] nice Food [SEP] Family style servings [SEP] legit food [SEP] deconstructed tacos [SEP] early dinner [SEP] recommend place [SEP] decent place [SEP] small restaurant ambiance [SEP] very delicious chips [SEP] Recommend guacamole [SEP] tender meat [SEP] well seasoned lamb [SEP] excellent pork carnitas [SEP] good lamb tacos,"this is a nice place to go with a group of friends. the ambiance is nice, the food is good and the portions are generous. the pork tacos were tender and the meat was tender. i would recommend this place to anyone who is looking for a decent mexican restaurant in the area. i would highly recommend this place."
13RpfoJXpRseXTW_RyEyPQ,Very professional staff [SEP] knowledgeable budtenders [SEP] Wide variety of choices [SEP] best product [SEP] very friendly and welcoming Che [SEP] shocked prices [SEP] amazing Atmosphere [SEP] liked club [SEP] dry bud [SEP] best dispensary [SEP] great price [SEP] Really nice atmosphere,this is the best club i've been to in a long time. the atmosphere is very nice and the staff is very friendly and knowledgeable. the prices are a little high for the quality of the work you get and the quality is amazing. i liked the atmosphere of the place and the people that work here are really
2JsLzYF8rUalwpm5LDEcog,good food [SEP] excellent seafood [SEP] unassuming atmosphere [SEP] very peppery clam chowder [SEP] Fantastic place [SEP] phenomenal food [SEP] Family atmosphere [SEP] exceptional service [SEP] friendly staff [SEP] funky atmosphere [SEP] excellent lobster bisque [SEP] excellent lobster shrimp tacos [SEP] fabulous desserts [SEP] didn't come out very quickly Food [SEP] large party,the food was excellent and the service was excellent. the staff was very friendly and the atmosphere was very inviting. the food came out quickly and was excellent. i had the seafood shrimp and it was fantastic. the lobster bisque was fantastic and the lobster mac and cheese was a little on the small side but still very good.
5EIuCcoHY2evAhFMBV6G6g,very good food [SEP] Loved decor [SEP] salty french onion soup [SEP] okay tuna [SEP] great entertainment [SEP] very much in the joking mood afternoon server [SEP] very typical decor [SEP] better prepared steak [SEP] hung croquette monsieur [SEP] Really friendly staff [SEP] Odd decor [SEP] Good service [SEP] traditional Decor [SEP] high end dining [SEP] small restaurant,i loved the decor and decor of this restaurant. the service was very good and our server was very friendly. the decor is small but the food was good. i had the french onion soup and it was really good. i also had the salmon and it came with a side of white wine which was very disappointing. the
3cbsPfoUUrysf-M8FI_0IA,fantastic Saturday brunch [SEP] immediate coffee [SEP] friendly prompt service [SEP] delicious chorizo [SEP] homemade chickpea gravy [SEP] warm berry white donuts [SEP] cozy atmosphere [SEP] good food [SEP] very savory [SEP] Nice neighborhood [SEP] Lavender Lemon `` donuts [SEP] nice Ambiance [SEP] much smaller restaurant [SEP] super pleasant Wait staff [SEP] very unique tastes,this place has a nice cozy atmosphere and the service is very prompt. the wait staff is super friendly and the food is fantastic. i had the french toast and it was very good. my husband had the ham and cheese and i had a side of french toast which was fantastic. the french press coffee was a nice
4nLqlBBt6jcvphkIQxz0gQ,inattentive server [SEP] luke warm food [SEP] cold meal [SEP] poor service [SEP] friendly server [SEP] great atmosphere [SEP] hot Plate [SEP] Over priced frozen food [SEP] great Service [SEP] not excellent food [SEP] okay Food [SEP] lackluster service [SEP] mediocre food [SEP] lack of concern cleanliness [SEP] shrunk portions,the service was excellent and the food was great. the food came out cold and was cold. the food took a while to come out and the server never came back to take our order. the food is over priced and the service is poor. the atmosphere was great but the food and service was below average. the server
31acLzszeCCpeXmyAnoTdg,Great food [SEP] Lovely atmosphere [SEP] highly recommend for a group dinner or date night [SEP] deafening noise level [SEP] enjoyed everything [SEP] sweet fig tart [SEP] expensive for Italian food [SEP] very expensive wine menu [SEP] really small portions [SEP] overpriced Wine [SEP] soft Grilled octopus [SEP] excellent spaghetti with shrimp dish [SEP] fresh pasta [SEP] delicious brussel sprouts [SEP] Very cute restaurant,this is a very cute italian restaurant. the atmosphere is cute and the food is excellent. the pasta dishes are a little pricey but the portions are small for what you get. the pasta dish is a little expensive for what it is. i had the seafood pasta and it was really good. the wine list is very expensive
1GA01-VWTAkV72huVT409g,great prices [SEP] best customer service [SEP] Best deal [SEP] quick turn around [SEP] accommodating schedule changes [SEP] awesome windshield [SEP] recommending place [SEP] fantastic service [SEP] Great job [SEP] damaged convertible [SEP] best cash price [SEP] great price [SEP] excellent customer [SEP] best services [SEP] Quality work,"this is by far the best customer service i have ever experienced. the customer service was great, the price was excellent and the quality of the work was excellent. the price is great for the quality and quality of work is the best i have had in a very long time. i would recommend this place to anyone looking"
35fWtS1LZkaZ-ooKupJ1XA,good food [SEP] Great place [SEP] friendly staff [SEP] good Service [SEP] loved recommendations [SEP] dirty place [SEP] cold boneless wings [SEP] awesome wings [SEP] cold food [SEP] awesome bartender [SEP] worst place [SEP] Rude rude rude employees [SEP] missing napkins [SEP] always rude order [SEP] forgot silverware,this place is awesome. the food is good but the service is terrible. the staff is rude. the place is rude and the employees are rude and rude. the wings are always cold and the hot wings are great. i loved this place and will never go back.
5BSrguKmbBb9W4R5IvbW7w,Great service [SEP] Profesional staff [SEP] awesome place [SEP] fun experience [SEP] great price [SEP] great person [SEP] extremely polite owner [SEP] pleasant experience [SEP] friendly Staff,this place is awesome. the staff is extremely friendly and the price is great. i had a great experience here and the staff was extremely polite and helpful. i will definitely be back.
6g2EQgi1QiXcp9TvbyG-Ig,reasonable price [SEP] Very friendly staff [SEP] sucks process [SEP] fine staff [SEP] pleased rental [SEP] very bright rental place [SEP] great rental experience [SEP] prepaid reservation [SEP] right price [SEP] $ 49/day BMW 328i [SEP] less than 5 minutes rental process [SEP] no upsell hassle insurance [SEP] fast return [SEP] Nice friendly people [SEP] sucks app,the staff was very friendly and friendly. the price was reasonable and the car was less than reasonable. the place itself was very clean and the staff were friendly. the only thing i didn't like about this place was that it was a little more expensive for the amount of car i paid. the sales people working there were
xzXXTBxcOWLAREDQaIbbPr,friendly and prompt Service [SEP] unbelievably amazing place [SEP] awesome Service [SEP] cooked polenta [SEP] good bacon aioli [SEP] very early seated [SEP] varied menu [SEP] likewise satisfying veggie sandwich [SEP] reasonable Prices [SEP] great lunch [SEP] favorite place [SEP] delicious beers [SEP] awesome owner [SEP] processed chicken [SEP] noisy inside,this place is awesome. the service is top notch and the owner is super friendly. the menu is extensive and the prices are very reasonable. i had the grilled chicken sandwich and it was cooked perfectly and the fries were awesome. i will definitely be back to try some of the other menu items. the service was awesome and
0ihQJhd_-nUP1p01NBDjLQ,good hummus [SEP] liked place [SEP] little spicy jalapeno [SEP] nice pita chips [SEP] very delicious chicken [SEP] super clean location [SEP] top notch food [SEP] on point flavors [SEP] dog friendly patio [SEP] paper thin gyro meat [SEP] odd rice [SEP] really cool owner [SEP] really bad Mediterranean gyro [SEP] bad Lettuce [SEP] lots of oil,this is a really nice little place. the owner is very friendly and the food is top notch. i had the gyro pita and it was really good. the gyro meat was a little on the dry side but the gyro was really good and the pita was top notch. the pita bread is top notch and the hummus
3I7xY7DjWearTz7d4TGdbw,Big portions [SEP] good waitress [SEP] very pleasant atmosphere [SEP] very good Mexican pizza [SEP] LOVE chips [SEP] great Atmosphere [SEP] friendly staff [SEP] pretty standard food [SEP] great for place [SEP] fast table [SEP] favorite places [SEP] no parking [SEP] lackluster food [SEP] Bland salsa [SEP] tasteless chips,this is one of my favorite mexican places in the area. the atmosphere is great and the staff is very friendly. the food is pretty good and the portions are big. i love the chips and salsa and the chips are pretty good too. the restaurant is very clean and the atmosphere of the place is great.
80TTAvMtRsPPFtFFnXgskA,chewy Marinated beef [SEP] little pricey choices [SEP] $ 9 . 99 portions [SEP] busy place [SEP] sporadic service [SEP] frozen food bar [SEP] go to for ethnic food [SEP] midweek restaurant open [SEP] Tons of protein [SEP] rising Prices [SEP] lower food quality [SEP] loyal patron [SEP] Great selection fresh [SEP] fun place [SEP] liked starch,i really liked this place. the food is fresh and the service is great. the prices are a little high for the amount of food you get. the portions are a bit smaller than most places but the quality of the food makes up for it. the restaurant is open 24 hours and the food comes out fresh and
4Wou6LarHqefHP21qRu0Ag,bad attitude [SEP] friendly Staff [SEP] Not a good representation store [SEP] inefficient store [SEP] No sense order [SEP] clean place [SEP] understaffed review [SEP] slow service [SEP] Great food [SEP] horrible service [SEP] always way understaffed place [SEP] really long wait time,this place is really great. the food is always good and the service is horrible. the staff is friendly and the place is usually clean. the only reason i gave it 4 stars is because of the lack of customer service. the place itself is really clean and the staff there is no reason to be rude to the
1nQMj-F3Oz3IeP9h10CNIA,enjoyed atmosphere [SEP]  Clueless wait [SEP] upscale pub [SEP] large patio [SEP] beautiful old house [SEP] welcoming service [SEP] surprisingly good for food [SEP] great spot [SEP] Very friendly staff [SEP] Beautiful big patio [SEP] edible Food [SEP] non smoking patio [SEP] limited smoking [SEP] yummy food [SEP] right Food portions,"this place has a beautiful patio with a beautiful patio. the staff is very friendly and the service is great. the food is very good and the portions are large and the food comes out quickly. the food portions are large, and the prices are a bit high for what you get. the patio is beautiful and the patio"
5XVabANkehj7oH-Z7YZkwg,aromatic brew [SEP] present and quick Service [SEP] quickly place [SEP] Open omelette [SEP] impressed pork belly [SEP] Great stuff [SEP] Favourite place [SEP] really good food [SEP] always great Customer service [SEP] very friendly Service [SEP] Pilot Coffee [SEP] enjoy Cortado [SEP] better espresso drink [SEP] worst experience [SEP] small restaurant,this is one of my favourite coffee shops in the area. the food is always great and the service is always quick and friendly. i really enjoy the vibe of this place. the place is small but the coffee is good and they have a lot of different flavors to choose from. my favourite is the black bean and
LstmnjVfSBhkWcXkYpUlCd,REALLY good food [SEP] LOVE place [SEP] Great really large baked potatoes [SEP] fresh sandwiches [SEP] sure hit place [SEP] Friendly delivery drivers [SEP] best deli [SEP] freshest salad bar [SEP] freshest sandwiches [SEP] best place [SEP] super sweet Manager [SEP] 100 % food [SEP] soft baked potatoes [SEP] consistent food [SEP] best tomato basil,this is one of the best place i have ever been to. the food is always fresh and the staff are super friendly. i love the fact that they have the best baked goods in town. the food has always been fresh and delicious. i love how they have a large salad bar and the bread is fresh and
82YGtjc5KKikNiqBZ33qzw,AMAZING customer [SEP] best sushi [SEP] Great ambience [SEP] fresh everything [SEP] reasonable prices [SEP] attentive Service [SEP] very extensive menu [SEP] best desserts [SEP] Great tapas kirin draft pitcher [SEP] super lit happy hour menu [SEP] Japanese style tapas [SEP] varied selection of robata items [SEP] good food [SEP] mediocre service [SEP] Ridiculous wait time,this is one of the best japanese restaurants i've been to in a long time. the menu is extensive and the prices are incredibly reasonable for the quality of food. the service is great and the wait time is super long. the menu items are extensive and everything is fresh and delicious. the wait staff is very attentive and
6nmlclYyyLyH5EGLUpsmjw,cozy place [SEP] good donut [SEP] Good customer service [SEP] healthy foods [SEP] very nice manager [SEP] nondairy drink choices [SEP] good reviews [SEP] die for coconut cream filled donuts [SEP] amazing smoothies [SEP] real fruit yogurt drinks [SEP] wonderful blueberry yogurt shake [SEP] Best donuts [SEP] Excellent selection [SEP] Friendly people [SEP] loved place,i loved this place! the place is cozy and the people working here are very friendly. the donuts are to die for. i had the strawberry donut and it was to die for and i loved it. they have a good selection of flavors to choose from as well. the donuts were good and they had some of the
wdONhxtTyHjgVzjiOeRPBh,Good bluecheese [SEP] like place [SEP] little graham crackers [SEP] good selection [SEP] friendly People [SEP] low carb options [SEP] fav lunch places [SEP] less than perfect food [SEP] mostly brown avocado [SEP] 80% fat bacon [SEP] free ice cream [SEP] huge potato [SEP] Large selection of items [SEP] unsanitary to scoop ice [SEP] expensive place,this is one of my favorite places to grab a quick lunch. the people are friendly and the food is good. i like the fact that they have a large selection of items to choose from and they offer a lot of options to choose from. they also have a huge selection of food items that i haven't tried
7qo6rqDjlHds8ObxzxBD4A,really good pizza [SEP] super nice delivery guy [SEP] delicious food [SEP] authentic pasta [SEP] exceptional service [SEP] impressed place [SEP] fantastic margherita pizza [SEP] thin crust [SEP] incredible crust [SEP] Worst pizza [SEP] horrible pizza [SEP] too cheap salad [SEP] delicious sauce [SEP] fresh chopped garlic [SEP] perfectly sweet Cannoli,"this place is fantastic! the pizza is delicious, the crust is super thin and the pizza crust is delicious. the pizza dough is fresh and the dough is really good. the service is exceptional and the delivery guy is really nice and the place is super nice. the pizza was good and the crust was fresh and delicious. the"
2Xix4Iv6gdj3F6fbJX3zgA,AWFUL customer service [SEP] incorrect ammo [SEP] advertised ammo [SEP] advertised price [SEP] cool store [SEP] nice friendly helpful people [SEP] better selection [SEP] appreciated customers [SEP] great experience [SEP] small gun store [SEP] pleasant staff,this is a cool store with great customer service and friendly people. the store is small and has a nice selection of books and the sales people are helpful and helpful. they have some of the best deals in the valley and they have a nice selection.
309bnXTHirKMU6wz1HwRjQ,really happy with service [SEP] pretty consistent food [SEP] Very good Buffalo burger [SEP] Fairly decent value [SEP] pretty good staff [SEP] pleasantly surprised place [SEP] messy buffalo burger [SEP] rocked Pretzel bun [SEP] very bar [SEP] poor set up- weekends [SEP] SUCK Bartenders [SEP] better place [SEP] Amazing lunches [SEP] right priced [SEP] Reasonably priced menu,this is a really good place to go for a quick bite to eat. the burgers are pretty good and the burgers and fries are very reasonably priced for the amount of food you get. the burger is really good and they have a lot of options to choose from. the burger bar tenders are amazing and the fries
7aOaX7QASqa8ab8eAx8TEA,very friendly and staff [SEP] very facility [SEP] quick car wash [SEP] free vacuums [SEP] great job car wash [SEP] friendliness staff [SEP] great concept [SEP] good man owner [SEP] prime location [SEP] Great wash [SEP] quality wash [SEP] higher priced washes [SEP] full service experience [SEP] near perfect equipment,i have been coming here for a few years now and have always had a great experience. the staff is very friendly and the service is quick. the location is perfect and the facility is very clean and clean. the wash is very good and the staff are very friendly. the car wash is great and they have a
3fdtp-bzoE4ZgTakkcEBzQ,Horrible education system [SEP] Not place [SEP] Good for vacation [SEP] amazing restaurants [SEP] breathtaking sunsets [SEP] beautiful trails [SEP] best chefs [SEP] great accommodations [SEP] fantastic pools [SEP] best dressed people [SEP] high quality shows [SEP] amazing hotels [SEP] Enjoy stay [SEP] Empty soulless desert dirt [SEP] all consuming money trap,this is one of the best restaurants i have been to in vegas. the views are beautiful and the views of the golf is amazing. the views were amazing and the golf course was great as well. the room was beautiful and had a good view of the lake. the only reason i am giving 4 stars is because
4KtHdcaZgJNZvbRgs5edKQ,Awesome Donair [SEP] good prices [SEP] amazing price [SEP] always fresh Food [SEP] Super friendly owner [SEP] special hot sauce [SEP] perfect mixture Food [SEP] staple Donair sauce [SEP] severe donair [SEP] Amazing donairs [SEP] homemade fries [SEP] great and friendly Service,this place is awesome! the owner is super friendly and the food is always good. the homemade hot sauce is amazing. the prices are great and the service is fast and friendly. the food has always been hot and fresh. i have never had a bad meal here. the fries are so good and the sauce is perfect. the
6qDRqHWqf0EeHupSUEBfKg,complimentary hush puppies [SEP] Reasonable prices [SEP] fast Service [SEP] friendly staff [SEP] above average Food [SEP] unexpectedly awesome sides [SEP] silly huge ribs [SEP] different BBQ sauces [SEP] friendly servers [SEP] good hush puppies [SEP] disappointed place [SEP] love place [SEP] spoiled ribs [SEP] great collards [SEP] loves chopped pork,i love this place. the food is great and the service is fast and friendly. the staff is friendly and attentive. the ribs are huge and the ribs and sides are good. the sides are huge enough for two people. i love the ribs as well as the sides. the ribs were good but the sides were a little
5mu4SWwVTgNUXw0lWLaoZw,Great customer [SEP] Terrible service [SEP] love shopping [SEP] always clean store [SEP] really friendly staff [SEP] big location [SEP] great location [SEP] great experience [SEP] helpful salespeople [SEP] amazing selection [SEP] out of control busy shoe section [SEP] helpful salespeople [SEP] busiest shoe store [SEP] very helpfull salespersons [SEP] nice Everyone,i love this store. the store is always clean and the staff is friendly and helpful. they have a great selection of items and the store itself is always clean. the store has a great location and the customer service is horrible. the store was very clean and organized. i love the fact that they have an amazing selection
0M2Us97NRafGL6Tojx2gbw,Crazy cover charge [SEP] tiny dive bar [SEP] somewhat western interiors [SEP] Good place [SEP] relaxed crown [SEP] enjoying drinks [SEP] recommend place [SEP] always kept up with waitress [SEP] priced right Drinks [SEP] Noisy atmosphere [SEP] pricey drinks [SEP] shapely servers [SEP] provided lackluster [SEP] rude staff [SEP] worse bouncer,this place is a dive bar with a dive bar. the drinks are priced well and the atmosphere is lively and the servers are always on top of things. the drinks and drinks are decently priced for the amount of food you get. i would highly recommend this place if you are in the mood for a chill atmosphere
VDnKcJqardBuPbVOiDcDbw,really good beer [SEP] vvery friendly staff [SEP] great outdoor area [SEP] wonderful beers [SEP] Liked outdoor space [SEP] positive reviews [SEP] all but positive visit [SEP] encourage beer consumption [SEP] cold beer [SEP] warm pint [SEP] quality beer [SEP] not beers [SEP] Fun flavors [SEP] enjoyed Will [SEP] free peanuts,i really enjoyed the beer and beer here. the beer selection was wonderful and the staff was friendly and helpful. the beer was really good and the beers were really good. the space was fun and the outdoor area had a fun outdoor space to sit and enjoy a cold beer and some beer while enjoying a cold beer.
59OgPGGzKFYqwSG_U06kuA,Very good tofu soup [SEP] Great korean food [SEP] Authentic Korean [SEP] delicious Sides [SEP] delicious Everything [SEP] recommend spicy tofu soup [SEP] excellent Kimchi [SEP] delicious Bulgogi [SEP] generous Galbi and [SEP] comparable Price [SEP] variety of banchan [SEP] Great place [SEP] busy place [SEP] alright side dishes,this is a great place to come for authentic korean food. the food is delicious and the flavours are authentic. the pork dumplings are delicious and everything is delicious. the tofu soup is delicious with a great variety of flavours. the pork belly is also very good. the price is also a bit on the higher side for the
7owvf-6q5pmVQXTxLI6Wqg,always been friendly service [SEP] always fresh fish [SEP] Decent prices [SEP] reasonable price [SEP] favorite sushi joint [SEP] perfect temperature [SEP] free hand rolls [SEP] extra sashimi slices [SEP] super nice chef [SEP] nice little cozy restaurant [SEP] pretty fresh fish [SEP] pretty good lunch specials [SEP] very good value [SEP] friendly & waitresses [SEP] attentive owner,this is one of my favorite sushi spots in the area. the sushi is always fresh and the price is pretty reasonable for the amount of food you get at a reasonable price. the sashimi is always super fresh and delicious. the sushi chefs are always super friendly and the service is always friendly and attentive. the prices are
0QBFtNNj9RIggZGeivcbEg,Great food [SEP] brightly painted car [SEP] Really cute chairs [SEP] Very bright Decore [SEP] right on Food [SEP] good margaritas [SEP] typical Americanized food [SEP] tiny bar area [SEP] Very colorful place [SEP] Excellent service [SEP] delicious food [SEP] well made dishes [SEP] very reasonable prices [SEP] worth visit [SEP] delicious margs,"this is a very cute place. the food is delicious, the service is excellent and the food was very good. the prices are very reasonable for the quality of the food and the portions are a bit on the small side. the food came out very quickly and the margaritas were delicious. the bar area is really cute and"
