eid,rids,n,gold_summary,review_0,review_1,review_2,review_3,review_4,review_5,review_6,review_7,extraction,input_text
wHswySRYvUDgQulMMGYaIo,"175,171,174,173,170,168,169,172",8,"Food is overall pretty good, but it's inconsistent. I don't like that sometimes it's good and sometimes its not. Probably the quality of chefs is not the same. The service does make up for the sometimes inconsistency in food quality though. Their Burgers are pretty good though. Other food, hit and miss.",Famous Daves has always been one of my main go to spots across the USA! This spot is good and meets the Famous Daves standard! The only bummer is parking is limited during peak hours but I won't let that from the rating .... Difficult to go wrong here ... They also do a free meal for us veterans on Veterans Day! Thanks for the 2 meat salute!!!,"Ok, I'm not from the South, I'm not a BBQ connoisseur BUT I've eaten enough good BBQ to know what a beef brisket sandwich is supposed to taste like. What I had at Famous Dave's earlier this afternoon was NOT BBQ. It was thawed meat that tasted like Little League hot dogs and with absolutely no BBQ sauce. Honestly, the best part of my meal was the bread. Yeah, that's what I came for ... the bread. Do yourself a favor and skip Famous Dave's. Skip the crap chain restaurants are dishing out and go for a mom and pop BBQ place.",Everything about famous faves in chandler was amazing from the food to the customer Service we received from the employees. The manager was so attentive to the guest he even greeted us when we came in and he also seated us. I would recommend this particular famous daves to anyone.,"Ultimate Burger, ,, enough said! best lunch location in the area, hands down best burger with this style, ,,   yes, their other food is great also, i just like the burger that much more, ,, Filling great price ... the goto decision while there.","Went to Dave's last night for dinner. They were very busy with a couple of parties so our wait was longer then normal. When we finally got our food, the manager came over to apologize and actually picked up the tab. I was totally taken by surprise. I thought customer service went away long ago but not at Dave's BBQ. It will now be a regular stop on our restaurant list. Thanks for the exceptional service and the great food.","Meats dry, French fries were dry ... everything was just dry. Although to make up for the incredibly dry foods, their chili is some of the best chili I've ever had! The manager was super nice and friendly. I really wanted to "" like "" the food here because it's popular, but I can't ... I'm too huge of a BBQ fan to give this place 5 stars",This was our first time here!!! I will not be going back!! My son and I both had bones in our pulled chicken sandwiches. This was not a pleasant experience. I usually don't write negative reviews but I'm very concerned for young children due to the choking hazard this presents. Check your sandwiches before you sink your teeth into them.,Food was good. The service was really good food was so hot it burnt my mouth. I just like a place we 're you have good food and good service,"good,food,food -> quality,positive;exceptional,service,staff,positive;good,spot,recommendation,positive;limited,parking,restaurant -> atmosphere,negative;free,meal,food -> quality,positive;so,manager,staff,positive;recommend,famous,recommendation,positive;best,lunch location,food -> quality,positive;Filling,great,drink -> quality,positive;longer,wait,wait-time,neutral;dry,Meats,food -> quality,negative;dry,French fries,food -> quality,negative;incredibly dry,foods,food -> quality,negative;best,chili,food -> quality,positive;super nice and friendly,manager,staff,positive",good food [SEP] exceptional service [SEP] good spot [SEP] limited parking [SEP] free meal [SEP] so manager [SEP] recommend famous [SEP] best lunch location [SEP] Filling great [SEP] longer wait [SEP] dry Meats [SEP] dry French fries [SEP] incredibly dry foods [SEP] best chili [SEP] super nice and friendly manager
1e6Xtmd4BetTnsoRCK3J5g,"182,180,183,176,178,177,181,179",8,"The staff here is very friendly and accommodating. They make sure to keep everything clean, which can sometimes be a challenge when you're working in an airport and have so many people coming through. The coffee and sandwiches always wind up being delicious too!","The lid fell off my cup, burned my hand, and spilled half of my coffee. Employees never asked if I was okay, or offered to replace my coffee. Will not be back to this location.","The line is quick, the people are friendly and the drinks are tasty. Also for skyharbor employees, they actually give an airport discount, unlike Starbucks.",Delicious cup of coffee. Very impressed Mr. Peets. Will be returning whenever I can,"Great service and a super clean nice location here. Considering this is in a busy airport, I was impressed. The pricing here, which is about double to triple regular prices, was what knocks off a star for me.",Spotted in due to flight delay. The big comfy brown lawyer seats is what attracted me in. I figured I could get some work done. I ordered a non fat vanilla iced tea. It was pretty good. I noticed the prices were a lil bit more expensive.,"If you're by the D gates at Sky Harbor, this is your coffee stop. Much better than the Starsucks at the high C gates.","Try gingerbread latte yum. This is the best looking, most comfortable airport coffee shop I've ever been in!!! Big comfy chairs with little tables. A big water container with cups in the restaurant away from the congestion of the order counter. Friendly, happy workers equals happy customers. I know you can't please everyone, but at 5 am a room full of happy airline travelers is a hard thing to come by. If your in need of coffee in Phoenix Sky Harbor, terminal 3 be sure to stop by and take a load off!!",$ 9 for a sandwich. I guess you can charge whatever you want when the airport doesn't have any other options in concourse C,",Delicious cup of,drink -> quality,positive;Great,service,staff,positive;super clean nice,location,restaurant -> atmosphere,positive;comfy,brown lawyer seats,restaurant -> comfort,positive;non fat,vanilla iced tea,drink -> quality,neutral;most comfortable,coffee shop,drink -> quality,positive;comfy,chairs,restaurant -> comfort,positive;little,tables,restaurant -> comfort,positive;big,water container,food-quantity,positive;happy,workers,staff,positive;happy,customers,staff,positive;$ 9 for,sandwich,value-for-money,neutral",Delicious cup of [SEP] Great service [SEP] super clean nice location [SEP] comfy brown lawyer seats [SEP] non fat vanilla iced tea [SEP] most comfortable coffee shop [SEP] comfy chairs [SEP] little tables [SEP] big water container [SEP] happy workers [SEP] happy customers [SEP] $ 9 for sandwich
0M2Us97NRafGL6Tojx2gbw,"189,184,187,185,186,190,191,188",8,"A lot of regulars come here which makes it a bit awkward for new people because you feel like you're intruding somewhat. Music is kind of loud and the bathrooms, wow, pretty outdated and nasty. I don't think they are cleaned much. Nothing special about this place, and staff can be rude if you're not a ""regular"". So so bar too.",So so bad...came in after Final Four because it was the first place we came across...big mistake. Crazy cover charge for a tiny dive bar with nothing in the beer tub. Immediately regretted it.,"Cool trendy somewhat western interiors. Good place to go at Westgate when you're in need of some libations and you don't want to go to a half - ass chain restaurant. I felt like the crown was relaxed and pretty cool. Not much silicone or muscle heads just regular 20 to 30 somethings enjoying their drinks. I'm not much on the west side drinking places but I'd recommend this place to someone if they asked, I kinda liked it. Drinks were priced right and the cute waitress always kept up with us when we needed something.",Noisy atmosphere seems to be the spot for regulars to visit.,"I did forget to mention that the other who posted pictures of the bathroom are correct. Hardware barely works, the smell was beyond offensive, probably because nothing flushes correctly.","Nothing special here. The music is too loud, the drinks too pricey, and the servers to shapely for the clothing they are wearing. Not that there are many options around job. com arena to choose from, sadly this is probably the best.","This place provided lackluster service. I'm surprised they're open. The staff was rude. The bouncer was even worse. I wouldn't come back here, ever again. I agree with all the other reviewers. This is a horrible place.","Went to McFadden's and could not get a decent Long Island or Manhattan. Gave up, went to hells half acre across the street and have not been treated better. Great bartender in Allie who hit the mark. General manager bought a round when my wife told him our story. And btw .... great scenery!","The staff, meaning Kat, was really cool but man .... The drinks sucked ass. Seriously I wanted to go to Fry's and buy a bottle of booze to smuggle some real drink in there. The music was cool. Nice mix not just top 40 or Country. The video and the art on the was was a nice touch too. Get better drinks or your gonna be one of the next to go ...","Crazy,cover charge,value-for-money,negative;tiny,dive bar,food-quantity,negative;somewhat western,interiors,restaurant -> atmosphere,positive;Good,place,recommendation,positive;relaxed,crown,restaurant -> atmosphere,positive;enjoying,drinks,drink -> quality,positive;recommend,place,recommendation,negative;always kept up with,waitress,staff,positive;priced right,Drinks,value-for-money,positive;Noisy,atmosphere,restaurant -> atmosphere,negative;pricey,drinks,value-for-money,negative;shapely,servers,staff,negative;provided,lackluster,food -> variety,negative;rude,staff,staff,negative;worse,bouncer,restaurant -> atmosphere,negative",Crazy cover charge [SEP] tiny dive bar [SEP] somewhat western interiors [SEP] Good place [SEP] relaxed crown [SEP] enjoying drinks [SEP] recommend place [SEP] always kept up with waitress [SEP] priced right Drinks [SEP] Noisy atmosphere [SEP] pricey drinks [SEP] shapely servers [SEP] provided lackluster [SEP] rude staff [SEP] worse bouncer
7gjYJ6leqm2IMJXNpKvIlw,"192,198,197,195,193,196,199,194",8,I had heard a lot about this place before and so now that I was finally back in Vegas I decided to check it out. They know how to do sandwiches right and I would say this is probably the best Philly cheese steak that you can get on this side of the country. The place has bar like seating so it's a very casual experience but still an enjoyable one.,"Best Philly Ever!!! Thank You Sam!!! Sometimes it is the little things in life that can Make You Happy- All it took was a Perfect Cheese Steak to Cheer Me Up, not to mention seeing a Friend Again - Thanks again Sam, , It wouldn't be the same without You",Stopped in for a sandwich on the way to the park. Next day I notice the charge has had a $2 tip added to it that I did not authorize. ( I left a cash tip in the beer money jar ) I called Corporate and got nowhere because this is a franchise store. At that point I gave up because as much as I like their sandwiches I am never going back.,"Worst service I have seen at a capriotti's. Ordered a sandwich, watched the guy write it down and 25 minutes later the same person asked what I wanted when I reminded him of my sandwich, he only said he can't remember where the order went. I watched 4 people come in after me order, one person the same sandwich just a different size then me get their food, pay and leave. I will not be coming back to the location ever again. Looks like I will be going to firehouse for now on!","one New Year's resolution is to write more Yelp reviews, so here goes ... In Vegas for NYE & gave this place a shot per other Yelp reviews. I had the Capistrami & the girlfriend had the Cheese Steak, which I had few bites of. Both were absolutely delicious in an awesome - deli - sandwich - sort - of - way. The shop is no - frills with only some bar seating, but the sandwiches are really reasonably priced. So if all you're after is a fantastic deli sandwich, definitely go.","Wow after all the hype about what a great place I was really disappointed. If this is a franchised operation than the quality control is really lacking. Our first visit to Capriotti's and with so many other quality places I doubt if they will get us as repeat customers. Well, here it is. We ordered the Bobbie and the Capastrami shared it. Both had cold bread in fact we got the impression that both sandwiches had been pre made and put in a refrigerator because the insides were also cold. No taste at all in either. For a company that supposedly cooks overnight you would think the turkey ingredients would look like turkey but apparently they shred it into little tiny bits. Will not return","# 1 in Vegas for a reason. Everyone has their favs .... the capistrami, the cheeseteak with mush ... Mine is definitely the Bobby. In case you haven't viewed their menu yet, the bobby is thanksgiving leftovers in a huge sandwich ... yeah, exactly.",Don't bother calling in an order. If they tell you a time it will be off by at least thirty minutes. Terrible service. Great food tho.,"This place is always good, I think the owner actually made my sandwich last time I was there, owner or manager, anyway it was superb! quite flavorful , even the next day it tasted just as good. Grab a Capistrami you can't go wrong, until next time Cappie's, be well.","Terrible,service,staff,negative;Perfect,Cheese Steak,food -> quality,positive;few,Capistrami,food -> healthiness,neutral;no - frills,shop,drink -> quality,neutral;really reasonably priced,sandwiches,value-for-money,positive;fantastic,deli sandwich,food -> quality,positive;lacking,quality control,food -> variety,negative;cold,bread,food -> quality,negative;Great,food,food -> quality,positive",Terrible service [SEP] Perfect Cheese Steak [SEP] few Capistrami [SEP] no - frills shop [SEP] really reasonably priced sandwiches [SEP] fantastic deli sandwich [SEP] lacking quality control [SEP] cold bread [SEP] Great food
57_msr8gjNakjGO-1f6B_g,"205,206,200,207,204,202,201,203",8,"Good pho here. Tastes authentic and pretty close to other places. Service is kind of lackluster though, but the food is good. The problem though is that this place can be a bit up and down on consistency and you're never going to get anything exactly the same. So some days you may like it and others you may not.","Yummy pho within the North York area! Woohoo. I would say that I enjoy Angus Pho House's broth a lot as it contains lots of onions and scallions. I want to say that this place is quite consistent but unfortunately the last time I went, my friend got a very small portion in terms of meat and noodles, even though we both ordered the same size. Overall, I am quite satisfied with this place. The interior is pretty standard, but you have to go downstairs to get to the washroom. This wouldn't stop me from going here whenever I feel like having pho!","Restaurant has a good grasp of Vietnamese pho soup broth and base, such that the taste is authentic and delicious. Their vermicelli noodles are thicker here than anywhere else I've gone, but was delicious nonetheless. Great service and cheap prices made for a 4 star experience.","It was ok. Not the worst place in the world and not the best. I don't think I would crave the food here or come back anytime soon. My fiancÃ © ordered the curry and rice and one chicken was pink, which he didn't enjoy. I ordered the satay beef soup. Which wasn't too spicy in my opinion. I thought it was good but it wasn't life changing or anything. The only reason we decided to check it out was because they're open late.",Good decent pho in this area. It's about the broth and it's delicious - you can taste the flavours had been boiling for hours. Good sized servings and a nice menu with not much of everything else. Keeping it simple with a classic Hunan chicken to classic house pho. I would say the best in the area.,OK place for a bowl of pho in the Finch area. The lime wedge was fresh and sprouts were crunchy. There is nothing really special or noteworthy about this place. I might try their tom yum or rice dishes next time I'm in the neighbourhood.,"Today was a lazy Sunday for me .. so I decided to order delivery. I've ordered the Thai fried fish cake, I find it lacking in flavour. I was craving for curry fish balls, the curry was not bad but the curry was a bit thick. The fried tofu was very tasty. Just enough flavour and it was crunchy. I really enjoyed this. I've also ordered the Tom yum noodles, it was okay as the soup lacked the spice. I will definitely come back for the tofu and the iced tea!","After reading the reviews I thought I'd give this place a shot, especially cause I was craving soup. The seafood soup is very spicy and delicious. If you order take out / delivery the seafood broth comes in a separate bowl and you can add as much of it to the noodle as you like. The sweet and sour chicken was just alright, nothing special to note. The pad thai has a generous amount of chicken and shrimp and tastes great. I got free coupons for Spring Rolls, and Roti with curry sauce for my next visit.","Since the only other pho restaurant is pho 88 by empress, the food here is decent. However, service is lacking. I suppose you don't go to these places for service, but because of the other options around, I will not go back just for the average food.","quite consistent,place,recommendation,positive;,Yummy,food -> quality,positive;enjoy,broth,food -> quality,positive;very small,portion,food-quantity,negative;pretty standard,interior,restaurant -> atmosphere,neutral;authentic,taste,restaurant -> atmosphere,positive;good grasp of,Vietnamese pho soup broth,food -> quality,positive;thicker,vermicelli noodles,food -> healthiness,positive;Great,service,staff,positive;cheap,prices,value-for-money,positive;4 star,experience,drink -> quality,positive;pink,chicken,food -> quality,negative;Good decent,pho,food -> quality,positive;boiling,flavours,food -> quality,negative;nice,menu,food -> variety,positive",quite consistent place [SEP]  Yummy [SEP] enjoy broth [SEP] very small portion [SEP] pretty standard interior [SEP] authentic taste [SEP] good grasp of Vietnamese pho soup broth [SEP] thicker vermicelli noodles [SEP] Great service [SEP] cheap prices [SEP] 4 star experience [SEP] pink chicken [SEP] Good decent pho [SEP] boiling flavours [SEP] nice menu
82hYL5WPQpvxg8ekDsB83A,"208,209,213,212,210,215,214,211",8,Without a doubt the worst service I have had from a restaurant in a long time. The staff was rude and didn't listen to my requests. The food was horrible and left me feeling sick. This is not a place that I will go back to any time soon.,"Without question one of the worst meals I've had in recently history. I left feeling physically ill. No way would I have ever tried this place if I didn't have a gift card to use. But free wasn't good enough. I should have been paid to eat this garbage. How this restaurant stays in business with all of the far better restaurants nearby is beyond me. , no it's not, stupid people still exist.","I guess it is everything that you would expect from a chain restaurant. Normally, I would give this place 4 stars for the great food, good service, and excellent menu, but it is just so vanilla. There are a million places just like this. To be a little more specific and helpful, the mussels are the best thing on the menu. Save some bread (and room) for this treat. The best entree is the Pollo Rosa Maria. Chicken stuffed with cheese and topped with an excellent gravy mushroom sauce. At the very least, you know you are going to a good restaurant. We are stuffed and you will be too. Best advice, pace yourself but crush the bread.","I had the Pasta Sostanza but instead of Tagliarini I had it with whole wheat spaghetti. I was pleasantly surprised at how DELICIOUS their whole wheat pasta is! I'm so glad I found a spot with a great whole wheat pasta in Charlotte. The rest of the dish was great as well, right down to the artichokes. And if you're in the mood for Sangria - the waitress recommended the Blackberry Sangria and I'm glad she did!",Great food! ( The pork chop was awesome!!! And the Bryan chicken is also really really good! ) we sat at the bar the food came out really quick. Over all I am very happy and will return.,"the only reason I gave this place 2 stars is because the service is very slow. we got in fast for a Saturday lunch but every time we asked our waitress for anything she would come back 15 minutes later? the food is good and comes in large portions but really? 17 dollars for a chicken Parmesan? everything here is expensive. I order the lasagna and was very disappointed, it was COVERED in sauce with barely any cheese or meat. I most likely will not return here. the only thing that was good was dessert, which is wonderful.",Absolutely the worst service I've ever had in any restaurant we were seated at the bar because they had said they had a shortage of wait staff then we were shown to a table we asked twice to have a server visit never saw one as for the manager the manager never appeared so we got up and left,I ordered a seasonal dessert pastry that came in a little cast iron skillet and it was burnt beyond recognition - why was it even served to us. Had hard time getting seated because none of the equipment was working and manager made situation worse by not helping host - it was a mess that left a bad taste along with horrible dessert - will spend money elsewhere.,"Got takeout for lunch. The new online ordering app worked seamlessly. I ordered Chicken Marsala with cavatappi ameritriciana, which was delicious. The lunch portion cost less than dinner, but doesn't include soup or salad. You can add those for $2. The waiter came out as soon as I pulled up. He was very friendly. My food was ready. This was a good experience. No complaints.","good,food,food -> quality,positive;great,whole wheat pasta,food -> quality,positive;really quick,food,food -> quality,positive;worst,meals,food -> quality,negative;good,service,staff,positive;excellent,menu,food -> variety,positive;best,mussels,food -> quality,positive;excellent,gravy mushroom sauce,food -> quality,positive;awesome,pork chop,food -> quality,positive;really really good,Bryan chicken,food -> quality,positive;very slow,service,wait-time,negative;large,portions,food-quantity,positive;17 dollars for,chicken Parmesan,value-for-money,neutral;expensive,everything,value-for-money,negative;barely any,cheese or meat,food -> quality,negative",good food [SEP] great whole wheat pasta [SEP] really quick food [SEP] worst meals [SEP] good service [SEP] excellent menu [SEP] best mussels [SEP] excellent gravy mushroom sauce [SEP] awesome pork chop [SEP] really really good Bryan chicken [SEP] very slow service [SEP] large portions [SEP] 17 dollars for chicken Parmesan [SEP] expensive everything [SEP] barely any cheese or meat
5vAe61D-AAjGZBFA4Ep8mQ,"220,221,217,216,218,223,222,219",8,"This place is great, I have nothing but good things to say. The dresses I ordered needed some hemming and I was recommended this place. The price was much lower than what I expected, and the job they did was fantastic. The best part was the time it took them. They were much faster than I had expected them to be!",Came here because my mom is a regular and I needed to have my ball gown altered while I was in town. They are so sweet and friendly. They treated me very well and gave me a good deal because my mom recommended them to me. They got my things done for me in a day and did a great job! I dropped off 3 pieces and they got it done for me and ready for pick up the next morning right in time for my flight. They are very personable and that goes a long way for me. I will definitely be coming here again and dropping my things off when I m in town again. I highly recommend this place.,Great work! We ordered a dress online & it was nothing like we thought it would be. Took it here not expecting anything more than some basic alterations .... little did we know the dress was revamped exactly the way we hoped it would be. The seamstress Diem was very helpful & her work was EXCELLENT!!,These folks did a great job on my suit alterations and in time for my planned Christmas party. I'll be back again.,"I got two dress pants hemmed at Linh's Fashion Alterations and am very pleased with the results. I felt that they did quality work and for a great price. The workers and seamstresses were very friendly and helpful. I didn't need my pants back in a hurry, but they said they could do same day alterations if necessary. I would definitely return to get alterations done on other items of clothing.","The before and after pictures of them fixing my dress that another tailor butchered. I want to thank them again, I received so many compliments on their work.","Seriously extraordinary! My wedding is a week away and I had my reception dress which even after alterations at David's Bridal they said they couldn't fix .. it fit horrible. Well, I had already gone to Linh's to get my Chinese dress alteres, which again they did an amazing job with, and figured I'd take a shot and see if they could do anything. Well they could and they did ... and it was something so simple that I am so shock that the people at David's Bridal couldn't event do it. MUST come here for everything. They know what they're doing!!!",Very quick with my alterations and everything fit perfectly .. Was a lot cheaper than I was expecting too .. Definitely plan to use them for future alterations,I tried this place based on the reviews from others and was so glad I did. I stopped in on a Saturday they were busy but still super helpful and friendly. They greeted me right away and took their time in seeing where my dress needed to be altered. They were sure to constantly check if I was okay with their suggestions and I was in and out in 20 minutes. I just picked my dress up and it's perfect. Really exceeded my expectations and were quick with their work. They called me saying it was ready 3 days early. Will be coming back here for sure!!,"Great,work,restaurant -> atmosphere,positive;altered,ball gown,restaurant -> atmosphere,neutral;recommend,place,recommendation,positive;very helpful,seamstress,staff,positive;pleased with,dress pants,restaurant -> atmosphere,neutral;great,price,value-for-money,positive;very friendly,seamstresses,staff,positive;helpful,workers,staff,positive;quick,work,wait-time,positive",Great work [SEP] altered ball gown [SEP] recommend place [SEP] very helpful seamstress [SEP] pleased with dress pants [SEP] great price [SEP] very friendly seamstresses [SEP] helpful workers [SEP] quick work
5ID843Ti7L0aa7BQIeXNaw,"231,227,228,230,225,226,229,224",8,"The staff are sometimes in a rush and therefore are not always careful - cutting cuticles too short and not providing a very relaxing experience. Language barrier  can make communication slightly difficult. They offer manicures , pedicures and waxing but do not offer acrylics or fake nails. Overall the place is clean and has decent prices.","This place is excellent to get your waxing or manicure done. Starting coming here to get my waxing done by Thuy, she is very professional and gentle. Then recently started getting mani - pedis. I got shellac nails done by Kim, she did an excellent job, my nails did nt chip for nearly 3 weeks! Overall, I highly recommend this place. Its clean, workers are professional and the prices are acceptable! Much cheaper then some over - hyped downtown places with less professional people","i think i had much higher expectations of this place b / c of the reviews my sister & i came 4 pedicures and she got shellac mani as well. they sat us side by side which was nice, the place was packed - which it seems like it always is there are tons and tons of colours to pick out, which is nice regular pedicure but my sister said they went to town with her cuticles for her manicure that it actually hurt the place is really nice and clean and i want to give it another chance when i m in the area for shellac mani myself","I have been to Nailsense several times, for waxing and manicure. A great salon with great prices. Waxing: Both Kim and Thuy are excellent and provide useful advice throughout the process ... I won't say they make it painless but they make it as pleasant as waxing can be! And the place is very clean. I won't go anywhere else for my waxing! Kim is also amazing for manicures, I had the gel nails done a few months ago and everyone at work kept asking me where I had them done!",Always have a great experience here. I was an hour late to my last waxing appt due to unforeseen circumstances--they still fit me in and were very nice about it. The staff are very nice and I'm always impressed with the results.,Boooo hiss. Not a fan - they were not careful at all and my cuticles were mangled after this. I live down town so cheap nail places aren't hard to find and the one near me takes their time for the same price. These girls were not the kindest to my friend or I even when we tried making polite conversation and left great tips. Language barriers aside - a smile is pretty universal ... so is being all rammy - jammy with sharp nail tools ... Na thanks. Not sure what the raves are about but I will be sticking to my own place now.,"This really is an awesome nail salon. It is spotlessly clean (including the bathroom!), very chic - ly decorated, and has some of the loveliest ladies around. I came here for a after - hours mani / pedi party with a group of friends, and we had a blast. Nailsense had Pretty Woman on their large flat screen while we ate, drank, and were buffed and polished to perfection. And the cost? A mani / pedi here is $35. Yep, you read that right. 35 BUCKS! A complete steal for the level of service. DEFINITELY will be back!","They do not do fake nails, of any kind. So if you need a fill don't bother. The website is deceiving, it allows you to pick the option of a gel set. I picked that option, and then good thing that I called before I went to ask the price or I would have gone all the way there for nothing! take that option off your website! apparently its been over a year since you offered gel nails!","Came for a pedicure. Booked my appointment well in advance. I had 4 different ladies work on me. There was no consistency, it was not very relaxing. And to make matters worse they cut my cuticle too short and it hurts.","excellent,place,recommendation,positive;excellent job,shellac nails,food -> quality,positive;recommend,place,recommendation,positive;professional,workers,staff,positive;acceptable,prices,value-for-money,positive;less professional,people,staff,negative;higher expectations,place,recommendation,negative;packed,place,restaurant -> atmosphere,positive;nice regular,pedicure,drink -> quality,positive;nice,place,recommendation,positive;great,salon,restaurant -> atmosphere,positive;great,prices,value-for-money,positive;useful,advice,recommendation,positive;very clean,place,restaurant -> atmosphere,positive;amazing for,manicures,food -> quality,positive",excellent place [SEP] excellent job shellac nails [SEP] recommend place [SEP] professional workers [SEP] acceptable prices [SEP] less professional people [SEP] higher expectations place [SEP] packed place [SEP] nice regular pedicure [SEP] nice place [SEP] great salon [SEP] great prices [SEP] useful advice [SEP] very clean place [SEP] amazing for manicures
7GGJlp1aWfcXGQz6q7SkXQ,"236,237,239,235,233,232,234,238",8,"This is one of those places that tries so hard to be an edgy ""dive"" bar but fails on all levels. The hostess was horrible at her job and the wait staff weren't much better. The food is terrible and the free drink was more like a half drink. The manager seemed more interested is saving seats for friends than helping the customers. The food arrived cold and had serious ""after"" effects that I won't describe. Bottom line, spend your money somewhere, anywhere else.","Good layout, friendly staff, and excellent waffle fries. The place didn't get jumping until almost midnight. The ratio of men to women was terrible, about 75/25 percent so if you're a single guy, be aware. Maybe I came on a bad night.",Terrible service - messed our order up three times. Philly sliders were cold. Nachos have squeeze cheese and cold chicken. Can't understand why they can't deliver on such a tiny menu if simple bar food. Manager was unprofessional and saving seats for his personal friends as waitresses were trying to seat guests.,"This place was awesome for our New Year's Eve day bowl games! We took advantage of their special offer which was $100 per person guaranteed you a seat and all the premium drinks you wanted! The manager was so wonderful as was our very   accommodating and friendly waitress / bartender Liz. We hardly drank! But we could if we had wanted to! The other people that came to watch the games were very nice too, even if they were for the other teams. The food was really good, too. All in all, a great experience!","Came here for an event that was supposed to be four hours long, we all left after one. The best part of this bar was the DJ that we hired. The staff was extremely condescending and rude. The manager and bouncers were unfriendly to the point where it seemed like we should feel lucky to be in their bar. I got snapped at by the manager for holding a beer and a mixed drink in my hand ... She threatened to kick me out. Don't waste your time or money","This place is as authentically a' dive bar' as the Disney castle is authentically a castle. That said, I somehow don't hate it. Stepping out of the Venetian's marble extravagance into dark and carefully arranged grunge was kind of hilarious. Decent service, passable food, beer was cold. Gave it an extra star for the awesome retro rock music blaring over the speakers.","Went here during the lunch hours, maybe only 2 other tables had customers, no hostess greater us so we kind of sat our selves. We sat for about 10 - 15 minutes with no - one acknowledging us at all and finally the hostess asked us if anyone had spoke to us. We said no and she explained the one waitress for the 3 - 4 tables was also the only bartender...what? Needless to say, not impressed.",The place is really nice has good atmosphere. Although some of the waitresses could use some touch ups. She was not very helpful and our food came 45 min later cold! The general manager was very nice very helpful,"Horrible experience. The free drink was a half drink the food was gross and the service was awful. Wings were dry and gave cs massive diarrhea and the nachos "" were actually and also gave cs massive diarhea DO NOT GO!!!!","Terrible,service,staff,negative;very,manager,staff,positive;Good,layout,restaurant -> atmosphere,positive;friendly,staff,staff,positive;excellent,waffle fries,food -> quality,positive;terrible,ratio,value-for-money,negative;cold,Philly sliders,restaurant -> atmosphere,negative;tiny,menu,food -> variety,negative;simple,bar food,food -> quality,positive;unprofessional,Manager,staff,negative;awesome for,place,recommendation,positive;premium,drinks,drink -> quality,positive;$ 100,seat,value-for-money,neutral;really good,food,food -> quality,positive;great,experience,restaurant -> atmosphere,positive",Terrible service [SEP] very manager [SEP] Good layout [SEP] friendly staff [SEP] excellent waffle fries [SEP] terrible ratio [SEP] cold Philly sliders [SEP] tiny menu [SEP] simple bar food [SEP] unprofessional Manager [SEP] awesome for place [SEP] premium drinks [SEP] $ 100 seat [SEP] really good food [SEP] great experience
4SxQLZ2EcjlFRG6BvCi0iA,"241,240,242,244,243,245,247,246",8,Lovely service all around. They treat you with respect and want to actually make you look good. They make you feel like you're a new person every time. Not the fastest place on the planet but they take extra time to make sure you look amazing.,Always a great experience. The staff and owners care about the customer and the service they provide is top notch. The new design and decor look great!,"Regular customer for the last year. I get what is really a "" trim "" every 2 . 5 weeks. Appointment is typically 15 minutes or less. For the first time in a year, missed an appointment. Was offered to re - schedule but was told that I'd be charged for the full appointment as a "" no - show "" fee. So much for customer loyalty. Too bad they're so willing to walk away from a loyal, regular client over $30.","I have been going to Gianna Christine for a number of years now and have never had anything less than a great experience. Shannelle, my stylist, does a wonderful job every time. Very helpful and skilled. The staff taking payments and answering phones are always friendly. Both my sister and mom also go there now and always get great results.",I come in for a trim twice a month and I am very happy with the professional courteous staff. The store front in very clean and organized and my stylist Destini is on it every time! So glad I found this place!!,"I had an appointment booked several weeks out, and they call and cancel on me, less than an hour before my appointment time. I understand people do get sick, but this is not the first time this has happened. They really need a more professional, accountable staff. You'd think you would have know earlier ... less than an hours notices. Then, just like last time, sorry we're booked straight the next month...after I've waited and they cancel on me? I do not recommend them, and will never go back. I've always shown up, and always have tipped well, at least 20 %. Too they're not the most reasonable, my appointments run over $150 every time.","What a great salon! This was my first time here and I am totally impressed. The girl at the front, I believe her name is Jessica, went above and beyond to get me in and then rescheduled my appointment to a sooner date so that I could have my hair done before my daughter is born. Simone's book was completely full but they worked their magic and got me in. I am a very picky blonde, and Simone nailed it. She is a super talented hair stylist as well very sweet. I love my hair and cannot wait to go back. I highly recommend Gianna Christine Salon and Spa.","Steven S. Is my hairstylist here, he is a wonderful, intelligent, a great hairstylist. I love this young boy. This place is awesome clean and bright. Highly recommended.",I had relatives come I. From out of town and I referred them to the salon for massage and facial. The facials were mediocre and the massages less then satisfying. What has happened to the service of this salon. Will never refer anyone again.,"top notch,service,wait-time,positive;great,decor,restaurant -> atmosphere,positive;missed,appointment,food -> variety,neutral;no - show,appointment,food -> variety,negative;always friendly,answering phones,staff,positive;professional courteous,staff,staff,positive;very clean and organized,store front,food -> quality,positive;booked,appointment,food -> variety,neutral;professional,staff,staff,negative;over $150,appointments,value-for-money,negative;super talented,hair stylist,restaurant -> atmosphere,positive;awesome clean,place,restaurant -> atmosphere,positive;less then satisfying,massages,drink -> quality,negative;mediocre,facials,food -> quality,neutral",top notch service [SEP] great decor [SEP] missed appointment [SEP] no - show appointment [SEP] always friendly answering phones [SEP] professional courteous staff [SEP] very clean and organized store front [SEP] booked appointment [SEP] professional staff [SEP] over $150 appointments [SEP] super talented hair stylist [SEP] awesome clean place [SEP] less then satisfying massages [SEP] mediocre facials
